CODE|LON|LAT
09429|106.4|29.5
AA343|76.9|43.2
AD651|-176.6|51.9
AFJ49|-54|47.3
AH223|72.6|23
AIJ6N|-64.3|-65.2
AK539|140.1|39.7
AL52M|143.8|-24
AM269|61.4|61.4
AN438|126.9|37.4
AN761|-149.9|61.2
AS00Q|-14.4|-8
AS237|58.3|37.9
AT138|23.6|38
AU63P|175|-37
AVJ2N|-70|-25.4
AZ163|40.5|64.6
BAJ3M|-58.5|-34.5
BC840|-105.3|40
BD88_|-120|-80
BE145|20.5|44.8
BF416|120.6|16.4
BGJ05|-74.2|4.5
BH148|21.2|46.7
BJJ32|-64.7|32.4
BL841|-111.4|41.9
BL964|-96|64.3
BM219|72.8|19
BN102|30.2|1.5
BP440|116.3|40
BR52P|152.9|-27.5
BT280|58|80.6
BU147|19|47.4
BV53Q|144.6|-37.3
BW771|-156.8|71.3
CAJ2M|-45.8|-23.2
CB53N|149|-35.3
CC929|-80.6|28.4
CD923|-82|23
CE669|179.5|68.8
CH958|-94.2|58.8
CI65K|169.2|-52.5
CL424|121.2|24.9
CM90R|-78.6|-9.1
CN53L|150.7|-34
CO764|-148|64.9
CPJ3O|-73|-36.6
CT13M|18.3|-34.1
CU322|88.6|23
CW46O|110.5|-66.3
CX452|113.5|52
CY90P|-79.8|-6.8
DH328|77.2|28.6
DI373|80.4|73.5
DJ111|42.8|11.5
DKA14|-18.4|14.8
DS932|-99.9|32.4
DT053|5.2|52.1
DU56O|140|-66.7
DV36Q|77.9|-68.6
DW41K|130.9|-12.4
EA036|-6.7|37.1
EB040|0.3|40.8
EG931|-86.7|30.4
ELA7P|-41.1|-77.7
EU980|-85.9|80
EZ11J|27.5|-11.6
FBJ63|-68.6|63.8
FCJ58|-68.4|58.1
FF051|-1.8|51.7
FMJ40|-74.1|40.4
FZA0M|-38.8|-3.7
GA762|-145.2|62.4
GB926|-78.2|26.6
GH64L|172.8|-43.6
GK156|44.3|56.1
GM037|14|37.6
GOJ69|-53.5|69.3
GR13L|26.5|-33.3
GSJ53|-60.5|53.3
GU421|113.4|23.1
GZ146|15.5|47.1
HA149|109.3|18.3
HAJ43|-71.51|42.61
HBA7N|-26.6|-75.5
HE13N|19.2|-34.4
HO54K|147.2|-42.9
HT67K|170.3|-72.3
HU91K|-75.3|-12
ILJ1P|-71.2|-17.4
IR352|104|52.5
IS233|72.9|33.8
JI91J|-76.8|-12
JO12O|28.1|-26.1
JR055|13.4|54.6
JUJ1N|-70.2|-15.5
KA225|67.1|25
KB548|135.1|48.5
KG24R|70.3|-49.4
KJ609|167.2|9
KO310|77.5|10.2
KR250|73.1|49.8
KS759|-156.6|58.7
KV151|30.5|50.5
LA77Q|-162.2|-78.2
LD160|30.7|60
LE038|-9.3|38.4
LE061|-1.2|60.1
LG178|15.9|78.2
LI050|10.1|51.6
LM42B|114|-21.9
LN047|-3.3|48.5
LPJ1O|-68.1|-16.5
LR22J|55.9|-21.1
LU165|22.1|65.6
LV12P|21.2|-28.5
LY164|18.8|64.6
MA720|-156.5|20.8
MD313|80.3|13.1
ME855|-113.3|54.6
MG560|151|60
MHJ45|-71.5|42.6
ML449|117.5|49.6
MM168|33|68
MN414|121.1|14.6
MO155|37.3|55.5
MQ55M|159|-54.5
MU12K|26.5|-22.4
MU43K|116.2|-32
MW26P|62.9|-67.6
MZ152|21.2|52.2
NC136|33.2|35.1
NI63_|168|-29
NK246|62.1|45.5
NLA0N|-35.2|-5.7
NO369|88.1|69.4
NQJ61|-45.4|61.2
NS355|83.2|54.6
NU159|24.6|60.5
OK426|127.8|26.3
OT945|-75.9|45.4
OU012|-1.5|12.4
PA836|-120.5|34.8
PD664|-173.4|64.4
PE054|9.3|54
PK40_|109|-0.3
PK553|158.7|53
PMJ06|-55.2|5.8
PMJ4K|-65.3|-42.7
PN909|-79.9|9.4
PO09_|0|-90
PQ052|14.6|50
PRJ18|-67.2|18.5
PSJ5J|-57.8|-51.7
PT046|0.3|46.6
PY50R|147.1|-9.4
PZ374|113|74.7
RA72J|-159.8|-21.2
RB974|-94.9|74.7
RKA64|-21.8|64.1
RL052|-1.3|51.6
RO041|12.5|41.8
RV149|39.7|47.2
SA547|143|47
SAA0K|-44.2|-2.5
SB079|11.9|78.9
SC047|2.3|48.1
SD266|66.5|66.5
SF144|34.1|44.8
SGA5M|-36.5|-54.3
SI301|103.8|1.3
SJJ47|-52.7|47.6
SL051|-0.6|51.5
SMJ67|-50.9|67
SN437|127.1|37.2
SO166|26.6|67.4
SPJ2L|-46.5|-23.5
SQ143|23.4|42.7
SQ67Q|166.8|-77.9
SR53M|138.6|-34.7
SSJ24|-74.5|24.1
ST837|-122.2|37.4
SU437|126.6|37.2
SV256|58.6|56.4
SW16R|39.6|-69
SZ045|6.7|46.4
TA90M|-81.3|-4.6
TB142|44.8|41.7
THJ77|-68.7|76.4
TI311|78.7|10.8
TK356|84.9|56.5
TM308|77|8.5
TO535|139.5|35.7
TP424|121.5|25
TQ241|69.6|41.3
TR169|19|69.7
TR170|19|69.7
TT71P|-149.3|-17.7
TUJ2O|-65.4|-26.9
TV51R|146.7|-19.3
TWJ4L|-65.3|-43.2
TX471|128.9|71.6
TZ362|61.6|90
UI057|-7.3|57.4
UP158|17.6|59.8
VA50L|141.3|-2.7
VI848|-123.4|48.4
VO47P|106.9|-78.4
VT139|17.9|40.7
WA938|-77.1|38.7
WE667|-169.8|66.6
WI937|-75.51|37.91
WI949|-94.4|49.8
WK545|141.7|45.4
WP937|-75.5|37.9
WS832|-106.5|32.3
WT43_|115.9|-30.3
WU430|114.3|30.5
XC982|-124.3|75.9
XG082|9.5|82.3
XHJ86|-63.4|86.3
YA462|129.6|62
YE862|-114.4|62.4
YG431|130.6|31.2
ZS36R|76.2|-69.2
